Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0.53,9,49.0533,34.5174,87.2834,-3.4215,7.15393,0.0375892,1,93.8656,50,0,0
0.54,9,49.0191,34.5889,87.2838,-3.4215,7.15393,0.0375892,1,93.8926,50,0,0
0.55,9,48.9849,34.6605,87.2842,-3.4215,7.15393,0.0375892,1,93.9197,50,0,0
0.56,9,48.9507,34.732,87.2846,-3.4215,7.15393,0.0375892,1,93.9468,50,0,0
0.57,9,48.9165,34.8035,87.2849,-3.4215,7.15393,0.0375892,1,93.974,50,0,0
0.58,9,48.8823,34.8751,87.2853,-3.4215,7.15393,0.0375892,1,94.0013,50,0,0
0.59,9,48.8481,34.9466,87.2857,-3.4215,7.15393,0.0375892,1,94.0286,50,0,0
0.6,9,48.8138,35.0182,87.2861,-3.4215,7.15393,0.0375892,1,94.056,50,0,0
0.61,9,48.7796,35.0897,87.2864,-3.4215,7.15393,0.0375892,1,94.0835,50,0,0
0.62,9,48.7454,35.1612,87.2868,-3.4215,7.15393,0.0375892,1,94.111,50,0,0
0.63,9,48.7112,35.2328,87.2872,-3.4215,7.15393,0.0375892,1,94.1385,50,0,0
0.64,9,48.677,35.3043,87.2876,-3.4215,7.15393,0.0375892,1,94.1662,50,0,0
0.65,9,48.6428,35.3759,87.2879,-3.4215,7.15393,0.0375892,1,94.1938,50,0,0
0.66,9,48.6086,35.4474,87.2883,-3.4215,7.15393,0.0375892,1,94.2216,50,0,0
0.67,9,48.5743,35.5189,87.2887,-3.4215,7.15393,0.0375892,1,94.2494,50,0,0
0.68,9,48.5401,35.5905,87.2891,-3.4215,7.15393,0.0375892,1,94.2772,50,0,0
0.69,9,48.5059,35.662,87.2894,-3.4215,7.15393,0.0375892,1,94.3051,50,0,0
0.7,9,48.4717,35.7336,87.2898,-3.4215,7.15393,0.0375892,1,94.3331,50,0,0
0.71,9,48.4375,35.8051,87.2902,-3.4215,7.15393,0.0375892,1,94.3611,50,0,0
0.72,9,48.4033,35.8766,87.2906,-3.4215,7.15393,0.0375892,1,94.3892,50,0,0
0.73,9,48.369,35.9482,87.2909,-3.4215,7.15393,0.0375892,1,94.4174,50,0,0
0.74,9,48.3348,36.0197,87.2913,-3.4215,7.15393,0.0375892,1,94.4456,50,0,0
0.75,9,48.3006,36.0913,87.2917,-3.4215,7.15393,0.0375892,1,94.4738,50,0,0
0.76,9,48.2664,36.1628,87.2921,-3.4215,7.15393,0.0375892,1,94.5022,50,0,0
0.77,9,48.2322,36.2343,87.2924,-3.4215,7.15393,0.0375892,1,94.5305,50,0,0
0.78,9,48.198,36.3059,87.2928,-3.4215,7.15393,0.0375892,1,94.559,50,0,0
0.79,9,48.1638,36.3774,87.2932,-3.4215,7.15393,0.0375892,1,94.5875,50,0,0
0.8,9,48.1295,36.4489,87.2936,-3.4215,7.15393,0.0375892,1,94.616,50,0,0
0.81,9,48.0953,36.5205,87.294,-3.4215,7.15393,0.0375892,1,94.6446,50,0,0
0.82,9,48.0611,36.592,87.2943,-3.4215,7.15393,0.0375892,1,94.6733,50,0,0
0.83,9,48.0269,36.6636,87.2947,-3.4215,7.15393,0.0375892,1,94.702,50,0,0
0.84,9,47.9927,36.7351,87.2951,-3.4215,7.15393,0.0375892,1,94.7308,50,0,0
0.85,9,47.9585,36.8066,87.2955,-3.4215,7.15393,0.0375892,1,94.7597,50,0,0
0.86,9,47.9243,36.8782,87.2958,-3.4215,7.15393,0.0375892,1,94.7886,50,0,0
0.87,9,47.89,36.9497,87.2962,-3.4215,7.15393,0.0375892,1,94.8175,50,0,0
0.88,9,47.8558,37.0213,87.2966,-3.4215,7.15393,0.0375892,1,94.8465,50,0,0
0.89,9,47.8216,37.0928,87.297,-3.4215,7.15393,0.0375892,1,94.8756,50,0,0
0.9,9,47.7874,37.1643,87.2973,-3.4215,7.15393,0.0375892,1,94.9047,50,0,0
0.91,9,47.7532,37.2359,87.2977,-3.4215,7.15393,0.0375892,1,94.9339,50,0,0
0.92,9,47.719,37.3074,87.2981,-3.4215,7.15393,0.0375892,1,94.9632,50,0,0
0.93,9,47.6847,37.379,87.2985,-3.4215,7.15393,0.0375892,1,94.9925,50,0,0
0.94,9,47.6505,37.4505,87.2988,-3.4215,7.15393,0.0375892,1,95.0218,50,0,0
0.95,9,47.6163,37.522,87.2992,-3.4215,7.15393,0.0375892,1,95.0512,50,0,0
0.96,9,47.5821,37.5936,87.2996,-3.4215,7.15393,0.0375892,1,95.0807,50,0,0
0.97,9,47.5479,37.6651,87.3,-3.4215,7.15393,0.0375892,1,95.1102,50,0,0
0.98,9,47.5137,37.7367,87.3003,-3.4215,7.15393,0.0375892,1,95.1398,50,0,0
0.99,9,47.4795,37.8082,87.3007,-3.4215,7.15393,0.0375892,1,95.1695,50,0,0
