Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0,8,56.4699,60.0515,57.6425,7.51733,5.30425,0.0467947,1,83.4908,50,0,0
0.01,8,56.5451,60.1046,57.643,7.51733,5.30425,0.0467947,1,83.5351,50,0,0
0.02,8,56.6203,60.1576,57.6435,7.51733,5.30425,0.0467947,1,83.5795,50,0,0
0.03,8,56.6954,60.2106,57.6439,7.51733,5.30425,0.0467947,1,83.624,50,0,0
0.04,8,56.7706,60.2637,57.6444,7.51733,5.30425,0.0467947,1,83.6686,50,0,0
0.05,8,56.8458,60.3167,57.6449,7.51733,5.30425,0.0467947,1,83.7132,50,0,0
0.06,8,56.921,60.3698,57.6453,7.51733,5.30425,0.0467947,1,83.758,50,0,0
0.07,8,56.9961,60.4228,57.6458,7.51733,5.30425,0.0467947,1,83.8028,50,0,0
0.08,8,57.0713,60.4759,57.6463,7.51733,5.30425,0.0467947,1,83.8476,50,0,0
0.09,8,57.1465,60.5289,57.6467,7.51733,5.30425,0.0467947,1,83.8926,50,0,0
0.1,8,57.2217,60.5819,57.6472,7.51733,5.30425,0.0467947,1,83.9376,50,0,0
0.11,8,57.2968,60.635,57.6477,7.51733,5.30425,0.0467947,1,83.9827,50,0,0
0.12,8,57.372,60.688,57.6481,7.51733,5.30425,0.0467947,1,84.0279,50,0,0
0.13,8,57.4472,60.7411,57.6486,7.51733,5.30425,0.0467947,1,84.0732,50,0,0
0.14,8,57.5223,60.7941,57.6491,7.51733,5.30425,0.0467947,1,84.1185,50,0,0
0.15,8,57.5975,60.8472,57.6496,7.51733,5.30425,0.0467947,1,84.1639,50,0,0
0.16,8,57.6727,60.9002,57.65,7.51733,5.30425,0.0467947,1,84.2094,50,0,0
0.17,8,57.7479,60.9532,57.6505,7.51733,5.30425,0.0467947,1,84.255,50,0,0
0.18,8,57.823,61.0063,57.651,7.51733,5.30425,0.0467947,1,84.3006,50,0,0
0.19,8,57.8982,61.0593,57.6514,7.51733,5.30425,0.0467947,1,84.3464,50,0,0
0.2,8,57.9734,61.1124,57.6519,7.51733,5.30425,0.0467947,1,84.3922,50,0,0
0.21,8,58.0486,61.1654,57.6524,7.51733,5.30425,0.0467947,1,84.438,50,0,0
0.22,8,58.1237,61.2185,57.6528,7.51733,5.30425,0.0467947,1,84.484,50,0,0
0.23,8,58.1989,61.2715,57.6533,7.51733,5.30425,0.0467947,1,84.53,50,0,0
0.24,8,58.2741,61.3245,57.6538,7.51733,5.30425,0.0467947,1,84.5761,50,0,0
0.25,8,58.3493,61.3776,57.6542,7.51733,5.30425,0.0467947,1,84.6223,50,0,0
0.26,8,58.4244,61.4306,57.6547,7.51733,5.30425,0.0467947,1,84.6685,50,0,0
0.27,8,58.4996,61.4837,57.6552,7.51733,5.30425,0.0467947,1,84.7148,50,0,0
0.28,8,58.5748,61.5367,57.6556,7.51733,5.30425,0.0467947,1,84.7612,50,0,0
0.29,8,58.6499,61.5897,57.6561,7.51733,5.30425,0.0467947,1,84.8077,50,0,0
0.3,8,58.7251,61.6428,57.6566,7.51733,5.30425,0.0467947,1,84.8542,50,0,0
0.31,8,58.8003,61.6958,57.657,7.51733,5.30425,0.0467947,1,84.9009,50,0,0
0.32,8,58.8755,61.7489,57.6575,7.51733,5.30425,0.0467947,1,84.9475,50,0,0
0.33,8,58.9506,61.8019,57.658,7.51733,5.30425,0.0467947,1,84.9943,50,0,0
0.34,8,59.0258,61.855,57.6584,7.51733,5.30425,0.0467947,1,85.0412,50,0,0
0.35,8,59.101,61.908,57.6589,7.51733,5.30425,0.0467947,1,85.0881,50,0,0
0.36,8,59.1762,61.961,57.6594,7.51733,5.30425,0.0467947,1,85.1351,50,0,0
0.37,8,59.2513,62.0141,57.6598,7.51733,5.30425,0.0467947,1,85.1821,50,0,0
0.38,8,59.3265,62.0671,57.6603,7.51733,5.30425,0.0467947,1,85.2292,50,0,0
0.39,8,59.4017,62.1202,57.6608,7.51733,5.30425,0.0467947,1,85.2765,50,0,0
0.4,8,59.4769,62.1732,57.6613,7.51733,5.30425,0.0467947,1,85.3237,50,0,0
0.41,8,59.552,62.2263,57.6617,7.51733,5.30425,0.0467947,1,85.3711,50,0,0
0.42,8,59.6272,62.2793,57.6622,7.51733,5.30425,0.0467947,1,85.4185,50,0,0
0.43,8,59.7024,62.3323,57.6627,7.51733,5.30425,0.0467947,1,85.466,50,0,0
0.44,8,59.7775,62.3854,57.6631,7.51733,5.30425,0.0467947,1,85.5136,50,0,0
0.45,8,59.8527,62.4384,57.6636,7.51733,5.30425,0.0467947,1,85.5612,50,0,0
0.46,8,59.9279,62.4915,57.6641,7.51733,5.30425,0.0467947,1,85.6089,50,0,0
0.47,8,60.0031,62.5445,57.6645,7.51733,5.30425,0.0467947,1,85.6567,50,0,0
0.48,8,60.0782,62.5976,57.665,7.51733,5.30425,0.0467947,1,85.7046,50,0,0
0.49,8,60.1534,62.6506,57.6655,7.51733,5.30425,0.0467947,1,85.7525,50,0,0
0.5,8,60.2286,62.7036,57.6659,7.51733,5.30425,0.0467947,1,85.8005,50,0,0
0.51,8,60.2873,62.7805,57.6664,5.86691,7.69042,0.0495989,1,85.8641,50,0,0
0.52,8,60.3459,62.8574,57.6669,5.86691,7.69042,0.0495989,1,85.9277,50,0,0
0.53,8,60.4046,62.9344,57.6674,5.86691,7.69042,0.0495989,1,85.9914,50,0,0
0.54,8,60.4633,63.0113,57.6679,5.86691,7.69042,0.0495989,1,86.0551,50,0,0
0.55,8,60.5219,63.0882,57.6684,5.86691,7.69042,0.0495989,1,86.1189,50,0,0
0.56,8,60.5806,63.1651,57.6689,5.86691,7.69042,0.0495989,1,86.1828,50,0,0
0.57,8,60.6393,63.242,57.6694,5.86691,7.69042,0.0495989,1,86.2467,50,0,0
0.58,8,60.6979,63.3189,57.6699,5.86691,7.69042,0.0495989,1,86.3107,50,0,0
0.59,8,60.7566,63.3958,57.6704,5.86691,7.69042,0.0495989,1,86.3748,50,0,0
0.6,8,60.8153,63.4727,57.6709,5.86691,7.69042,0.0495989,1,86.4389,50,0,0
0.61,8,60.8739,63.5496,57.6714,5.86691,7.69042,0.0495989,1,86.5031,50,0,0
0.62,8,60.9326,63.6265,57.6719,5.86691,7.69042,0.0495989,1,86.5673,50,0,0
0.63,8,60.9913,63.7034,57.6724,5.86691,7.69042,0.0495989,1,86.6316,50,0,0
0.64,8,61.05,63.7803,57.6729,5.86691,7.69042,0.0495989,1,86.696,50,0,0
0.65,8,61.1086,63.8572,57.6734,5.86691,7.69042,0.0495989,1,86.7604,50,0,0
0.66,8,61.1673,63.9341,57.6739,5.86691,7.69042,0.0495989,1,86.8248,50,0,0
0.67,8,61.226,64.011,57.6744,5.86691,7.69042,0.0495989,1,86.8894,50,0,0
0.68,8,61.2846,64.0879,57.6749,5.86691,7.69042,0.0495989,1,86.954,50,0,0
0.69,8,61.3433,64.1648,57.6754,5.86691,7.69042,0.0495989,1,87.0186,50,0,0
0.7,8,61.402,64.2417,57.6759,5.86691,7.69042,0.0495989,1,87.0833,50,0,0
0.71,8,61.4606,64.3186,57.6763,5.86691,7.69042,0.0495989,1,87.1481,50,0,0
0.72,8,61.5193,64.3955,57.6768,5.86691,7.69042,0.0495989,1,87.2129,50,0,0
0.73,8,61.578,64.4724,57.6773,5.86691,7.69042,0.0495989,1,87.2778,50,0,0
0.74,8,61.6366,64.5493,57.6778,5.86691,7.69042,0.0495989,1,87.3428,50,0,0
0.75,8,61.6953,64.6262,57.6783,5.86691,7.69042,0.0495989,1,87.4078,50,0,0
0.76,8,61.754,64.7032,57.6788,5.86691,7.69042,0.0495989,1,87.4729,50,0,0
0.77,8,61.8127,64.7801,57.6793,5.86691,7.69042,0.0495989,1,87.538,50,0,0
0.78,8,61.8713,64.857,57.6798,5.86691,7.69042,0.0495989,1,87.6032,50,0,0
0.79,8,61.93,64.9339,57.6803,5.86691,7.69042,0.0495989,1,87.6684,50,0,0
0.8,8,61.9887,65.0108,57.6808,5.86691,7.69042,0.0495989,1,87.7337,50,0,0
0.81,8,62.0473,65.0877,57.6813,5.86691,7.69042,0.0495989,1,87.7991,50,0,0
0.82,8,62.106,65.1646,57.6818,5.86691,7.69042,0.0495989,1,87.8645,50,0,0
0.83,8,62.1647,65.2415,57.6823,5.86691,7.69042,0.0495989,1,87.93,50,0,0
0.84,8,62.2233,65.3184,57.6828,5.86691,7.69042,0.0495989,1,87.9955,50,0,0
0.85,8,62.282,65.3953,57.6833,5.86691,7.69042,0.0495989,1,88.0611,50,0,0
0.86,8,62.3407,65.4722,57.6838,5.86691,7.69042,0.0495989,1,88.1267,50,0,0
0.87,8,62.3993,65.5491,57.6843,5.86691,7.69042,0.0495989,1,88.1924,50,0,0
0.88,8,62.458,65.626,57.6848,5.86691,7.69042,0.0495989,1,88.2582,50,0,0
0.89,8,62.5167,65.7029,57.6853,5.86691,7.69042,0.0495989,1,88.324,50,0,0
0.9,8,62.5754,65.7798,57.6858,5.86691,7.69042,0.0495989,1,88.3899,50,0,0
0.91,8,62.634,65.8567,57.6863,5.86691,7.69042,0.0495989,1,88.4558,50,0,0
0.92,8,62.6927,65.9336,57.6868,5.86691,7.69042,0.0495989,1,88.5218,50,0,0
0.93,8,62.7514,66.0105,57.6873,5.86691,7.69042,0.0495989,1,88.5878,50,0,0
0.94,8,62.81,66.0874,57.6878,5.86691,7.69042,0.0495989,1,88.6539,50,0,0
0.95,8,62.8687,66.1643,57.6883,5.86691,7.69042,0.0495989,1,88.7201,50,0,0
0.96,8,62.9274,66.2412,57.6887,5.86691,7.69042,0.0495989,1,88.7863,50,0,0
0.97,8,62.986,66.3181,57.6892,5.86691,7.69042,0.0495989,1,88.8526,50,0,0
0.98,8,63.0447,66.395,57.6897,5.86691,7.69042,0.0495989,1,88.9189,50,0,0
0.99,8,63.1034,66.4719,57.6902,5.86691,7.69042,0.0495989,1,88.9853,50,0,0
